image,condition,ty,tx,fg_fraction,skel_len_per_mm2,branch_per_mm2,endpoint_per_mm2,endpoint_branch_ratio,mean_thickness_um,ramification,cluster
F_WT_2,WT,200,400,0.0877,524980.0,59908.7,66565.2,1.0,1.958,11.41,1
F_WT_2,WT,200,600,0.2413,534043.7,77373.5,74955.5,0.939,1.991,14.49,1
F_WT_2,WT,200,800,0.3229,518854.2,61443.7,59636.5,0.943,2.042,11.84,0
F_WT_2,WT,200,1000,0.2779,528802.6,62972.9,86063.0,1.323,1.873,11.91,1
F_WT_2,WT,200,1200,0.2188,534989.6,61345.0,98685.4,1.542,1.858,11.47,1
F_WT_2,WT,200,1400,0.1706,489251.7,61568.2,78670.5,1.211,2.055,12.58,1
F_WT_2,WT,400,200,0.0311,593679.1,37490.4,93726.0,1.667,1.542,6.31,3
F_WT_2,WT,400,400,0.2018,493268.4,66514.1,72297.9,1.042,2.116,13.48,1
F_WT_2,WT,400,600,0.224,571990.2,70318.0,91153.0,1.25,1.652,12.29,1
F_WT_2,WT,400,800,0.213,592096.5,65755.6,95893.6,1.4,1.594,11.11,1
F_WT_2,WT,400,1000,0.1941,553296.3,69153.4,96213.4,1.333,1.744,12.5,1
F_WT_2,WT,400,1200,0.2277,590404.3,76878.6,74315.9,0.935,1.664,13.02,1
F_WT_2,WT,400,1400,0.3294,537542.7,72626.1,74397.4,1.0,2.083,13.51,1
F_WT_2,WT,400,1600,0.2246,548418.1,75325.0,85714.7,1.1,1.792,13.73,1
F_WT_2,WT,400,1800,0.1616,548645.2,75830.6,104718.4,1.318,1.795,13.82,1
F_WT_2,WT,400,2000,0.0341,683052.9,85486.3,102583.6,1.0,1.733,12.52,2
F_WT_2,WT,600,0,0.0794,583907.0,58766.8,95496.1,1.444,1.554,10.06,3
F_WT_2,WT,600,200,0.2175,549788.3,64387.4,91215.6,1.36,1.691,11.71,1
F_WT_2,WT,600,400,0.3282,501196.7,60442.1,51553.6,0.829,2.04,12.06,0
F_WT_2,WT,600,600,0.1396,529368.3,66858.4,117002.2,1.647,1.587,12.63,3
F_WT_2,WT,600,800,0.187,651011.4,71760.5,71760.5,0.958,1.469,11.02,1
F_WT_2,WT,600,1000,0.1655,599030.9,59921.8,88120.3,1.389,1.512,10.0,1
